matricule,name,cisco,studied_at,results
140028,RANDRIANASOLO Kanto,AMBATOLAMPY,EPP Bealanana,admis
140055,ANDRIAMATOA Faly,AMBATOLAMPY,EPP Bealanana,admis
140021,ANDRIAMATOA Fitia,AMBATOLAMPY,EPP Ambanja,admis
140004,RAKOTOMANGA Ialy,AMBATOLAMPY,EPP Toliara,non admis
140086,RAKOTONIRINA Aina,AMBATOLAMPY,EPP Toamasina,admis
140002,RAKOTONANAHARY Lalaina,AMBATOLAMPY,EPP Morondava,non admis
140039,RAHANTANIRINA Miora,AMBATOLAMPY,EPP Ambositra,admis
140069,RAZAKARIVONY Tojo,AMBATOLAMPY,EPP Ambatondrazaka,admis
140031,RAKOTONDRABE Lova,AMBATOLAMPY,EPP Bekily,admis
140084,RANDRIANARY Hery,AMBATOLAMPY,EPP Fianarantsoa,admis
140097,RAKOTONDRABE Sarobidy,AMBATOLAMPY,EPP Moramanga,admis
140068,RATSIMBAZAFY Fetra,AMBATOLAMPY,EPP Ambatondrazaka,admis
140016,RATSIMBAZAFY Tahina,AMBATOLAMPY,EPP Fianarantsoa,admis
140064,RANDRIAMBOLOLONA Fahasina,AMBATOLAMPY,EPP Fianarantsoa,admis
140026,RAKOTONDRAZAKA Hasina,AMBATOLAMPY,EPP Mahajanga,admis
140099,RATSIMBAZAFY Rina,AMBATOLAMPY,EPP Ambovombe,admis
140059,RAKOTONDRAVAO Sitraka,AMBATOLAMPY,EPP Farafangana,admis
140078,RAJOELINA Zo,AMBATOLAMPY,EPP Antananarivo,admis
140091,RANDRIAMBOLOLONA Koto,AMBATOLAMPY,EPP Belo,admis
140087,RAZAKARIVONY Ando,AMBATOLAMPY,EPP Andapa,admis
140019,RAJAONARISON Toky,AMBATOLAMPY,EPP Toliara,admis
140030,RAKOTOMALALA Kintana,AMBATOLAMPY,EPP Ambanja,admis
140036,RAHANTANIRINA Tovo,AMBATOLAMPY,EPP Ambanja,admis
140023,RAKOTONDRAZAKA Zara,AMBATOLAMPY,EPP Ambovombe,admis
140077,RAKOTOMAVO Randria,AMBATOLAMPY,EPP Mandritsara,admis
140066,RAKOTOMANANA Tovo,AMBATOLAMPY,EPP Antananarivo,admis
140043,RANDRIAMBOLOLONA Sarobidy,AMBATOLAMPY,EPP Ambanja,admis
140025,RAKOTOMANGA Fitia,AMBATOLAMPY,EPP Nosy Be,admis
140038,RASOLOARIVONY Sitraka,AMBATOLAMPY,EPP Ampanihy,admis
140060,RAJAONARISON Malala,AMBATOLAMPY,EPP Belo,admis
