matricule,name,cisco,studied_at,results
140187,RAKOTONDRAZAKA Onja,AMBATOMAINTY,EPP Bealanana,admis
140140,RASOANAIVO Lalaina,AMBATOMAINTY,EPP Toliara,admis
140152,RASOLOARIVONY Herisoa,AMBATOMAINTY,EPP Antsiranana,admis
140143,RAHARIMANANA Fitia,AMBATOMAINTY,EPP Belo,admis
140131,RABEMANANTSOA Tovo,AMBATOMAINTY,EPP Antalaha,admis
140157,RANOROMALALA Tahina,AMBATOMAINTY,EPP Toliara,admis
140146,RAKOTONDRABE Fahasina,AMBATOMAINTY,EPP Moramanga,admis
140158,RAVELONIRINA Fetra,AMBATOMAINTY,EPP Toliara,admis
140171,RANDRIAMBOLOLONA Tiana,AMBATOMAINTY,EPP Moramanga,admis
140154,RATSIMBAZAFY Rivomalala,AMBATOMAINTY,EPP Antananarivo,admis
140197,RABEARIVELO Ialy,AMBATOMAINTY,EPP Bekily,admis
140117,RASOANAIVO Toky,AMBATOMAINTY,EPP Antananarivo,admis
140196,RAJAONARISON Sitraka,AMBATOMAINTY,EPP Mandritsara,admis
140130,RANDRIANJOHARY Tahina,AMBATOMAINTY,EPP Fianarantsoa,admis
140150,RABEARIVELO Ialy,AMBATOMAINTY,EPP Toamasina,admis
140129,RANDRIANAMPARANY Kanto,AMBATOMAINTY,EPP Manakara,admis
140194,RAHARINIRINA Rina,AMBATOMAINTY,EPP Moramanga,admis
140111,RAFANOMEZANTSOA Lova,AMBATOMAINTY,EPP Fianarantsoa,non admis
140139,RAKOTOARISOA Herisoa,AMBATOMAINTY,EPP Ambatondrazaka,admis
140169,RAKOTONANAHARY Fano,AMBATOMAINTY,EPP Bealanana,admis
140134,RAKOTONDRAZAKA Sitraka,AMBATOMAINTY,EPP Andapa,admis
140120,RAKOTO Fitiavana,AMBATOMAINTY,EPP Ambovombe,admis
140167,RASAMIMANANA Tovo,AMBATOMAINTY,EPP Manakara,admis
140165,RAVELONIRINA Rivomalala,AMBATOMAINTY,EPP Ampanihy,admis
140112,RAJAONARISON Aina,AMBATOMAINTY,EPP Toliara,non admis
140135,RAKOTOMAVO Tiana,AMBATOMAINTY,EPP Antananarivo,admis
140179,RABEMANANTSOA Mampionona,AMBATOMAINTY,EPP Ihosy,admis
