matricule,name,cisco,studied_at,results
140228,RANDRIAMBOLOLONA Kintana,AMBATONDRAZAKA,EPP Toliara,admis
140215,RANOROMALALA Ialy,AMBATONDRAZAKA,EPP Fianarantsoa,admis
140233,RAKOTOMALALA Kintana,AMBATONDRAZAKA,EPP Ihosy,admis
140251,RAKOTONDRAMBOA Rina,AMBATONDRAZAKA,EPP Bekily,admis
140213,RAKOTONIRINA Mahery,AMBATONDRAZAKA,EPP Fianarantsoa,non admis
140250,RAKOTONIRINA Lalaina,AMBATONDRAZAKA,EPP Fianarantsoa,admis
140294,RASAMIMANANA Tovo,AMBATONDRAZAKA,EPP Toliara,admis
140295,RAKOTONDRAVONY Aina,AMBATONDRAZAKA,EPP Belo,admis
140236,RAJAONARISON Lalaina,AMBATONDRAZAKA,EPP Morondava,admis
140285,RAZAKARIVONY Mahery,AMBATONDRAZAKA,EPP Mahajanga,admis
140297,RAVELONIRINA Faly,AMBATONDRAZAKA,EPP Mananjary,admis
140274,RAJAONARISON Fahasina,AMBATONDRAZAKA,EPP Morondava,admis
140262,RASOLOARIVONY Ando,AMBATONDRAZAKA,EPP Antsiranana,admis
140211,RANDRIAMBOLOLONA Tahiry,AMBATONDRAZAKA,EPP Moramanga,non admis
140230,RAKOTO Zara,AMBATONDRAZAKA,EPP Antananarivo,admis
140210,RABEMANANTSOA Solofonirina,AMBATONDRAZAKA,EPP Ambositra,non admis
140221,RAZAFINDRAKOTO Tahina,AMBATONDRAZAKA,EPP Antalaha,admis
140275,RAFANOMEZANTSOA Rivomalala,AMBATONDRAZAKA,EPP Bealanana,admis
140240,RANDRIANARY Toky,AMBATONDRAZAKA,EPP Toamasina,admis
140269,RAJAONARISON Ialy,AMBATONDRAZAKA,EPP Ihosy,admis
140235,RAJOELINA Mirana,AMBATONDRAZAKA,EPP Ihosy,admis
140242,RANDRIAMBOLOLONA Jean,AMBATONDRAZAKA,EPP Mahajanga,admis
140254,RANDRIANASOLO Santatra,AMBATONDRAZAKA,EPP Mananjary,admis
140260,RANDRIAMBOLOLONA Hasina,AMBATONDRAZAKA,EPP Ambositra,admis
140227,RANOROMALALA Kintana,AMBATONDRAZAKA,EPP Nosy Be,admis
140212,RASOLOARIVONY Lalaina,AMBATONDRAZAKA,EPP Antananarivo,non admis
140204,RANDRIANJOHARY Lova,AMBATONDRAZAKA,EPP Toamasina,non admis
140270,RANDRIANJOHARY Tahina,AMBATONDRAZAKA,EPP Ambanja,admis
140248,RAKOTONDRAZAKA Sarobidy,AMBATONDRAZAKA,EPP Ambatondrazaka,admis
140255,RANDRIANASOLO Aina,AMBATONDRAZAKA,EPP Moramanga,admis
140214,RANDRIANASOLO Zara,AMBATONDRAZAKA,EPP Ambatondrazaka,admis
140265,RAHANTANIRINA Kintana,AMBATONDRAZAKA,EPP Farafangana,admis
140220,RAVELONIRINA Toky,AMBATONDRAZAKA,EPP Andapa,admis
140201,RASOLOARIVONY Fahasina,AMBATONDRAZAKA,EPP Bekily,non admis
140241,RABEMANANTSOA Lova,AMBATONDRAZAKA,EPP Farafangana,admis
140287,RAFIDIMANANA Miary,AMBATONDRAZAKA,EPP Mahajanga,admis
140202,RAKOTOMAVO Tojo,AMBATONDRAZAKA,EPP Toamasina,non admis
140296,RANDRIAMANANTENA Fano,AMBATONDRAZAKA,EPP Bealanana,admis
140217,RANDRIANAMPARANY Haja,AMBATONDRAZAKA,EPP Antalaha,admis
140216,RAHARIMANANA Fitiavana,AMBATONDRAZAKA,EPP Toliara,admis
140272,RANDRIAMBOLOLONA Tahina,AMBATONDRAZAKA,EPP Mananjary,admis
140284,RAZAKARIVONY Sarobidy,AMBATONDRAZAKA,EPP Antsiranana,admis
140271,RAFIDIMANANA Koto,AMBATONDRAZAKA,EPP Ihosy,admis
140226,RANDRIANASOLO Ando,AMBATONDRAZAKA,EPP Ambositra,admis
140256,RANOROMALALA Herisoa,AMBATONDRAZAKA,EPP Ampanihy,admis
140249,RANDRIAMANANTENA Tovo,AMBATONDRAZAKA,EPP Bekily,admis
140263,RAZAFINDRAKOTO Miora,AMBATONDRAZAKA,EPP Ambositra,admis
140280,RANARIVELO Mirana,AMBATONDRAZAKA,EPP Toamasina,admis
140205,RAKOTOMAVO Sitraka,AMBATONDRAZAKA,EPP Fianarantsoa,non admis
140206,RAHARISON Fano,AMBATONDRAZAKA,EPP Nosy Be,non admis
140267,RANDRIANARY Fitiavana,AMBATONDRAZAKA,EPP Andapa,admis
140224,RAZAFINDRAKOTO Zo,AMBATONDRAZAKA,EPP Toamasina,admis
140276,RAJOELINA Onja,AMBATONDRAZAKA,EPP Fianarantsoa,admis
140237,RAKOTONIAINA Voara,AMBATONDRAZAKA,EPP Antsiranana,admis
140208,RAKOTONANAHARY Tovo,AMBATONDRAZAKA,EPP Moramanga,non admis
140259,RANDRIANARY Haja,AMBATONDRAZAKA,EPP Andapa,admis
140290,RANDRIAMANANTENA Zara,AMBATONDRAZAKA,EPP Antananarivo,admis
140264,RAHARINAIVO Solofonirina,AMBATONDRAZAKA,EPP Ampanihy,admis
140293,RAKOTOMANANA Randria,AMBATONDRAZAKA,EPP Ampanihy,admis
140245,RABEARIVELO Herisoa,AMBATONDRAZAKA,EPP Toliara,admis
140258,RAKOTONDRABE Toky,AMBATONDRAZAKA,EPP Ihosy,admis
140292,RANDRIANAMPARANY Tahiry,AMBATONDRAZAKA,EPP Mahajanga,admis
140207,RAHARISON Kanto,AMBATONDRAZAKA,EPP Ihosy,non admis
140268,RANDRIANASOLO Solofonirina,AMBATONDRAZAKA,EPP Bealanana,admis
140200,RANDRIAMBOLOLONA Lalaina,AMBATONDRAZAKA,EPP Toliara,non admis
140239,RABEARIVELO Ando,AMBATONDRAZAKA,EPP Toliara,admis
140299,RAKOTONDRAVAO Lova,AMBATONDRAZAKA,EPP Ambositra,admis
140279,RAKOTONIAINA Tiana,AMBATONDRAZAKA,EPP Belo,admis
140283,ANDRIAMATOA Hery,AMBATONDRAZAKA,EPP Antsiranana,admis
140289,RAKOTONIAINA Soava,AMBATONDRAZAKA,EPP Antalaha,admis
140247,RAHARIMANANA Aina,AMBATONDRAZAKA,EPP Moramanga,admis
140222,RAKOTONANAHARY Tahina,AMBATONDRAZAKA,EPP Antananarivo,admis
140261,RANDRIAMBOLOLONA Tojo,AMBATONDRAZAKA,EPP Ambovombe,admis
140257,RAJOELINA Koto,AMBATONDRAZAKA,EPP Andapa,admis
140291,RANDRIANAMPARANY Mahery,AMBATONDRAZAKA,EPP Ambanja,admis
140266,RAKOTONDRAZAKA Rina,AMBATONDRAZAKA,EPP Moramanga,admis
140286,RANDRIAMBOLOLONA Mirana,AMBATONDRAZAKA,EPP Manakara,admis
140282,RAKOTONANAHARY Soa,AMBATONDRAZAKA,EPP Toamasina,admis
140238,RANDRIANASOLO Hasina,AMBATONDRAZAKA,EPP Ambovombe,admis
140246,RAKOTONIAINA Soava,AMBATONDRAZAKA,EPP Fianarantsoa,admis
140244,ANDRIAMATOA Tahina,AMBATONDRAZAKA,EPP Bekily,admis
140288,RANARIVELO Tahina,AMBATONDRAZAKA,EPP Morondava,admis
140225,RASOAMANARIVO Solofonirina,AMBATONDRAZAKA,EPP Ambositra,admis
140281,RANDRIANJOHARY Rivomalala,AMBATONDRAZAKA,EPP Ambovombe,admis
140273,RANDRIANARY Herisoa,AMBATONDRAZAKA,EPP Ihosy,admis
140223,RAHARIMANANA Tiana,AMBATONDRAZAKA,EPP Bealanana,admis
140203,RAKOTONIAINA Rivomalala,AMBATONDRAZAKA,EPP Bekily,non admis
140298,RAKOTOMANANA Fitiavana,AMBATONDRAZAKA,EPP Manakara,admis
140277,RANDRIANARY Jean,AMBATONDRAZAKA,EPP Andapa,admis
140232,RASOLOARIVONY Zara,AMBATONDRAZAKA,EPP Bekily,admis
140229,RANDRIANAMPARANY Aina,AMBATONDRAZAKA,EPP Ambovombe,admis
140209,RANDRIAMBOLOLONA Miary,AMBATONDRAZAKA,EPP Ambovombe,non admis
140219,RAKOTO Fahasina,AMBATONDRAZAKA,EPP Ampanihy,admis
140218,RASAMIMANANA Mahery,AMBATONDRAZAKA,EPP Antsiranana,admis
140234,RAZAFINDRAKOTO Fahasina,AMBATONDRAZAKA,EPP Andapa,admis
140253,RAKOTONDRAVAO Aina,AMBATONDRAZAKA,EPP Ampanihy,admis
140252,RAVELOMANANA Mampionona,AMBATONDRAZAKA,EPP Ampanihy,admis
140231,RANDRIAMBOLOLONA Randria,AMBATONDRAZAKA,EPP Maroantsetra,admis
