matricule,name,cisco,studied_at,results
140361,RASAMIMANANA Fitia,AMBILOBE,EPP Moramanga,admis
140343,RAFIDIMANANA Rina,AMBILOBE,EPP Ampanihy,admis
140357,RANDRIAMBOLOLONA Kintana,AMBILOBE,EPP Ambositra,admis
140371,RAVELOMANANA Malala,AMBILOBE,EPP Ihosy,admis
140352,RAVELOMANANA Voahangy,AMBILOBE,EPP Farafangana,admis
140373,RAKOTO Lova,AMBILOBE,EPP Toamasina,admis
140340,RAKOTOMALALA Fahasina,AMBILOBE,EPP Toamasina,admis
140339,RASOLOARIVONY Tiana,AMBILOBE,EPP Toamasina,admis
140370,RAKOTONANAHARY Solofonirina,AMBILOBE,EPP Nosy Be,admis
140305,RAKOTONDRAMBOA Faly,AMBILOBE,EPP Ambovombe,non admis
140324,RAKOTONDRAMBOA Sitraka,AMBILOBE,EPP Bealanana,admis
140309,RANDRIANARIVELO Zara,AMBILOBE,EPP Ambanja,non admis
140325,RANDRIANASOLO Hasina,AMBILOBE,EPP Bealanana,admis
140334,RANARIVELO Tiana,AMBILOBE,EPP Mahajanga,admis
140355,RAKOTONANAHARY Solofonirina,AMBILOBE,EPP Morondava,admis
140332,RAHANTANIRINA Hery,AMBILOBE,EPP Andapa,admis
140333,RAKOTONANAHARY Soava,AMBILOBE,EPP Belo,admis
140311,RAKOTONANAHARY Fetra,AMBILOBE,EPP Nosy Be,non admis
140382,RABEMANANTSOA Landy,AMBILOBE,EPP Mandritsara,admis
140391,RAKOTOBE Zo,AMBILOBE,EPP Morondava,admis
140310,RABEARIVELO Fetra,AMBILOBE,EPP Mahajanga,non admis
140347,RABEMANANTSOA Onja,AMBILOBE,EPP Bekily,admis
140314,RANDRIANAMPARANY Soava,AMBILOBE,EPP Moramanga,admis
140358,RAVELONIRINA Tsiry,AMBILOBE,EPP Mahajanga,admis
140396,RANDRIANJOHARY Mahery,AMBILOBE,EPP Ambovombe,admis
140364,RAHARISON Koto,AMBILOBE,EPP Morondava,admis
140306,RAFIDIMANANA Mampionona,AMBILOBE,EPP Moramanga,non admis
140356,RANDRIANARIVELO Kanto,AMBILOBE,EPP Antsiranana,admis
140394,RASOANAIVO Solofonirina,AMBILOBE,EPP Ambositra,admis
140326,RAHARIMANANA Faly,AMBILOBE,EPP Antalaha,admis
140399,RAKOTONDRABE Lova,AMBILOBE,EPP Farafangana,admis
140320,RAKOTONDRAZAKA Hery,AMBILOBE,EPP Ambovombe,admis
140337,RABEMANANTSOA Fahasina,AMBILOBE,EPP Bealanana,admis
140302,RANDRIANJOHARY Rivomalala,AMBILOBE,EPP Manakara,non admis
140321,RANARIVELO Aina,AMBILOBE,EPP Ampanihy,admis
140375,RAJAONARISON Fitiavana,AMBILOBE,EPP Ambositra,admis
140369,RANDRIAMANANTENA Herisoa,AMBILOBE,EPP Mahajanga,admis
140336,RAHARISON Voara,AMBILOBE,EPP Belo,admis
140379,RAHARINAIVO Rivomalala,AMBILOBE,EPP Nosy Be,admis
140386,RASOAMANARIVO Herisoa,AMBILOBE,EPP Bekily,admis
