matricule,name,cisco,studied_at,results
140469,RAJOELINA Voahangy,AMBOASARY-SUD,EPP Antsiranana,admis
140445,RANDRIANAMPARANY Koto,AMBOASARY-SUD,EPP Mananjary,admis
140466,RAVELOMANANA Herisoa,AMBOASARY-SUD,EPP Andapa,admis
140495,RASOLOARIVONY Zara,AMBOASARY-SUD,EPP Maroantsetra,admis
140499,RAVELONIRINA Fara,AMBOASARY-SUD,EPP Mahajanga,admis
140475,RAVELONIRINA Lova,AMBOASARY-SUD,EPP Ambositra,admis
140409,RATSIMBAZAFY Kintana,AMBOASARY-SUD,EPP Ampanihy,non admis
140405,ANDRIAMATOA Tojo,AMBOASARY-SUD,EPP Bealanana,non admis
140472,RASOAMANARIVO Lalaina,AMBOASARY-SUD,EPP Antananarivo,admis
140461,RANDRIAMBOLOLONA Miora,AMBOASARY-SUD,EPP Antsiranana,admis
140491,RABEMANANTSOA Fara,AMBOASARY-SUD,EPP Mandritsara,admis
140487,RAKOTONDRAZAKA Voara,AMBOASARY-SUD,EPP Nosy Be,admis
140435,RAFIDIMANANA Fara,AMBOASARY-SUD,EPP Ambatondrazaka,admis
140481,RAKOTOMALALA Mampionona,AMBOASARY-SUD,EPP Maroantsetra,admis
140427,RAZAFINDRAKOTO Voahangy,AMBOASARY-SUD,EPP Ambositra,admis
140476,RAKOTO Rina,AMBOASARY-SUD,EPP Ambositra,admis
140442,RAVELOMANANA Soava,AMBOASARY-SUD,EPP Mananjary,admis
140418,RASOANAIVO Rado,AMBOASARY-SUD,EPP Ambanja,admis
140431,RAFANOMEZANTSOA Ialy,AMBOASARY-SUD,EPP Ambatondrazaka,admis
140452,RABEMANANTSOA Randria,AMBOASARY-SUD,EPP Toamasina,admis
140474,RAHARINAIVO Malala,AMBOASARY-SUD,EPP Antsiranana,admis
140467,RAHARISON Fara,AMBOASARY-SUD,EPP Bekily,admis
140416,RAKOTOMANGA Miary,AMBOASARY-SUD,EPP Ampanihy,admis
140498,RASOLOARIVONY Tiana,AMBOASARY-SUD,EPP Ihosy,admis
140457,RANOROMALALA Voahirana,AMBOASARY-SUD,EPP Manakara,admis
140494,RATSIMBAZAFY Toky,AMBOASARY-SUD,EPP Nosy Be,admis
140489,RAHARINIRINA Tiana,AMBOASARY-SUD,EPP Farafangana,admis
140417,RAHANTANIRINA Fetra,AMBOASARY-SUD,EPP Maroantsetra,admis
140497,ANDRIAMATOA Miary,AMBOASARY-SUD,EPP Farafangana,admis
140463,RAVELONIRINA Fetra,AMBOASARY-SUD,EPP Belo,admis
140444,RAHANTANIRINA Kintana,AMBOASARY-SUD,EPP Ambanja,admis
140439,RAHARIMANANA Voahangy,AMBOASARY-SUD,EPP Fianarantsoa,admis
140414,RANDRIANJOHARY Kanto,AMBOASARY-SUD,EPP Maroantsetra,admis
140453,RAVELONIRINA Tiana,AMBOASARY-SUD,EPP Toliara,admis
140428,RAHANTANIRINA Voara,AMBOASARY-SUD,EPP Ambositra,admis
140492,ANDRIAMATOA Ialy,AMBOASARY-SUD,EPP Ampanihy,admis
140411,RAKOTOMANANA Mahery,AMBOASARY-SUD,EPP Bekily,non admis
140401,RAKOTONIRINA Toky,AMBOASARY-SUD,EPP Manakara,non admis
140455,RAKOTOBE Herisoa,AMBOASARY-SUD,EPP Andapa,admis
140423,RANOROMALALA Aina,AMBOASARY-SUD,EPP Mahajanga,admis
140462,RAZAKARIVONY Tsiry,AMBOASARY-SUD,EPP Bealanana,admis
140412,RASOANAIVO Rivomalala,AMBOASARY-SUD,EPP Bekily,non admis
140415,RAZAFINDRAKOTO Soa,AMBOASARY-SUD,EPP Antananarivo,admis
140413,RANDRIANAMPARANY Haja,AMBOASARY-SUD,EPP Antalaha,non admis
140406,RANDRIANAMPARANY Tahina,AMBOASARY-SUD,EPP Bekily,non admis
140451,RANDRIANARIVELO Malala,AMBOASARY-SUD,EPP Ambanja,admis
140407,RAHARIMANANA Aina,AMBOASARY-SUD,EPP Manakara,non admis
140485,RAKOTO Rina,AMBOASARY-SUD,EPP Antalaha,admis
140410,RANARIVELO Mahery,AMBOASARY-SUD,EPP Ambovombe,non admis
140470,RANDRIAMBOLOLONA Miora,AMBOASARY-SUD,EPP Ampanihy,admis
140484,RAJAONARISON Malala,AMBOASARY-SUD,EPP Ambatondrazaka,admis
140479,RANDRIAMANANTENA Toky,AMBOASARY-SUD,EPP Ambositra,admis
140459,RAKOTONIAINA Rivomalala,AMBOASARY-SUD,EPP Belo,admis
140478,RANDRIANARIVELO Herisoa,AMBOASARY-SUD,EPP Andapa,admis
140422,RANDRIANAMPARANY Tojo,AMBOASARY-SUD,EPP Fianarantsoa,admis
140448,RAFANOMEZANTSOA Solofonirina,AMBOASARY-SUD,EPP Belo,admis
140477,RANDRIAMBOLOLONA Lova,AMBOASARY-SUD,EPP Andapa,admis
140432,RAKOTONDRABE Ialy,AMBOASARY-SUD,EPP Toamasina,admis
140473,RAKOTONDRAVAO Zara,AMBOASARY-SUD,EPP Mandritsara,admis
140471,RAZAKARIVONY Herisoa,AMBOASARY-SUD,EPP Moramanga,admis
140430,RAHARINAIVO Santatra,AMBOASARY-SUD,EPP Nosy Be,admis
140493,RAKOTOMAVO Faly,AMBOASARY-SUD,EPP Farafangana,admis
140436,RAHARISON Mahery,AMBOASARY-SUD,EPP Maroantsetra,admis
140438,RAVELOMANANA Sarobidy,AMBOASARY-SUD,EPP Fianarantsoa,admis
140429,RANOROMALALA Soa,AMBOASARY-SUD,EPP Ambovombe,admis
