matricule,name,cisco,studied_at,results
140631,RAKOTONDRAMBOA Hery,AMBOHIMAHASOA,EPP Antalaha,admis
140615,RAKOTONDRAVAO Fetra,AMBOHIMAHASOA,EPP Antalaha,admis
140654,RAHARINAIVO Kanto,AMBOHIMAHASOA,EPP Maroantsetra,admis
140628,RAKOTOARISOA Tojo,AMBOHIMAHASOA,EPP Mananjary,admis
140664,RATOVO Ando,AMBOHIMAHASOA,EPP Ambanja,admis
140665,RAKOTOMANGA Tahiry,AMBOHIMAHASOA,EPP Andapa,admis
140602,RABEMANANTSOA Tsiry,AMBOHIMAHASOA,EPP Bekily,non admis
140648,RAZAKARIVONY Solofonirina,AMBOHIMAHASOA,EPP Toamasina,admis
140625,RAHANTANIRINA Koto,AMBOHIMAHASOA,EPP Ihosy,admis
140682,RAKOTOARISOA Mampionona,AMBOHIMAHASOA,EPP Manakara,admis
140622,RATSIMBAZAFY Tovo,AMBOHIMAHASOA,EPP Maroantsetra,admis
140680,RANDRIAMBOLOLONA Soa,AMBOHIMAHASOA,EPP Maroantsetra,admis
140678,RATOVO Tahiry,AMBOHIMAHASOA,EPP Mandritsara,admis
140688,RAKOTONDRABE Tahiry,AMBOHIMAHASOA,EPP Ambatondrazaka,admis
140661,RAKOTOMALALA Soa,AMBOHIMAHASOA,EPP Antananarivo,admis
140624,RAKOTONIRINA Malala,AMBOHIMAHASOA,EPP Ihosy,admis
140636,RASOAMANARIVO Soa,AMBOHIMAHASOA,EPP Fianarantsoa,admis
140686,RANDRIANARIVELO Fetra,AMBOHIMAHASOA,EPP Ambanja,admis
140608,RANDRIANASOLO Kanto,AMBOHIMAHASOA,EPP Mananjary,non admis
140632,RAKOTONDRABE Zo,AMBOHIMAHASOA,EPP Ambatondrazaka,admis
140651,RAKOTOARISOA Lalaina,AMBOHIMAHASOA,EPP Ambanja,admis
140643,RAZAKARIVONY Aina,AMBOHIMAHASOA,EPP Ihosy,admis
140684,RAKOTONDRAVONY Herisoa,AMBOHIMAHASOA,EPP Toamasina,admis
140679,RAVELOMANANA Lova,AMBOHIMAHASOA,EPP Toamasina,admis
140669,RABEMANANTSOA Tovo,AMBOHIMAHASOA,EPP Ambanja,admis
140616,RABEARIVELO Solofonirina,AMBOHIMAHASOA,EPP Morondava,admis
140653,RANDRIANAMPARANY Santatra,AMBOHIMAHASOA,EPP Ampanihy,admis
140658,RAFANOMEZANTSOA Voara,AMBOHIMAHASOA,EPP Manakara,admis
140647,RAKOTONANAHARY Voahirana,AMBOHIMAHASOA,EPP Mahajanga,admis
140656,RAVELONIRINA Fano,AMBOHIMAHASOA,EPP Morondava,admis
140695,RAKOTONDRABE Onja,AMBOHIMAHASOA,EPP Morondava,admis
140668,RAZAFINDRAKOTO Zo,AMBOHIMAHASOA,EPP Belo,admis
140601,RAZAKARIVONY Fahasina,AMBOHIMAHASOA,EPP Bealanana,non admis
140626,ANDRIAMATOA Rina,AMBOHIMAHASOA,EPP Andapa,admis
140689,RANDRIANASOLO Zo,AMBOHIMAHASOA,EPP Ambovombe,admis
140690,RAKOTONDRABE Onja,AMBOHIMAHASOA,EPP Ampanihy,admis
140645,RAHARISON Fara,AMBOHIMAHASOA,EPP Belo,admis
140691,RAKOTOMANANA Mirana,AMBOHIMAHASOA,EPP Moramanga,admis
140634,RAKOTOMANANA Fara,AMBOHIMAHASOA,EPP Mananjary,admis
140699,RANDRIANASOLO Rina,AMBOHIMAHASOA,EPP Belo,admis
140660,RAFANOMEZANTSOA Onja,AMBOHIMAHASOA,EPP Fianarantsoa,admis
