matricule,name,cisco,studied_at,results
140710,RAKOTOARISOA Soa,AMBOSITRA,EPP Bealanana,non admis
140715,RAKOTOMANANA Tahiry,AMBOSITRA,EPP Mandritsara,admis
140731,RAKOTOMAVO Tiana,AMBOSITRA,EPP Mananjary,admis
140751,RAKOTONDRAZAKA Sitraka,AMBOSITRA,EPP Mananjary,admis
140787,RAKOTONDRAVAO Jean,AMBOSITRA,EPP Mananjary,admis
140790,RAJOELINA Solofonirina,AMBOSITRA,EPP Morondava,admis
140793,RASOANAIVO Haja,AMBOSITRA,EPP Ambanja,admis
140742,RASOLOARIVONY Kintana,AMBOSITRA,EPP Ambatondrazaka,admis
140702,RAKOTONDRAVAO Onja,AMBOSITRA,EPP Antananarivo,non admis
140773,RASOAMANARIVO Malala,AMBOSITRA,EPP Ihosy,admis
140741,RAKOTOMANANA Jean,AMBOSITRA,EPP Mahajanga,admis
140768,RANDRIAMBOLOLONA Mirana,AMBOSITRA,EPP Belo,admis
140719,RABEARIVELO Jean,AMBOSITRA,EPP Mahajanga,admis
140783,RAHARISON Sitraka,AMBOSITRA,EPP Ambositra,admis
140711,RAJAONARISON Tahina,AMBOSITRA,EPP Bekily,non admis
140765,RAZAFINDRAKOTO Onja,AMBOSITRA,EPP Antananarivo,admis
140716,RAKOTONDRABE Tsiry,AMBOSITRA,EPP Nosy Be,admis
140767,RAFIDIMANANA Mahery,AMBOSITRA,EPP Mandritsara,admis
140717,RAKOTOMALALA Fara,AMBOSITRA,EPP Antananarivo,admis
140733,RAKOTONIAINA Toky,AMBOSITRA,EPP Ambatondrazaka,admis
140753,RATOVO Landy,AMBOSITRA,EPP Ampanihy,admis
140772,RAJOELINA Rado,AMBOSITRA,EPP Moramanga,admis
140722,RAKOTOARISOA Fetra,AMBOSITRA,EPP Mananjary,admis
140777,RAVELONIRINA Zara,AMBOSITRA,EPP Bekily,admis
140764,RASOANAIVO Santatra,AMBOSITRA,EPP Belo,admis
140723,RABEARIVELO Fitia,AMBOSITRA,EPP Antsiranana,admis
140792,RANDRIAMBOLOLONA Kanto,AMBOSITRA,EPP Morondava,admis
140785,RAKOTONANAHARY Toky,AMBOSITRA,EPP Farafangana,admis
140759,RAVELONIRINA Fano,AMBOSITRA,EPP Ihosy,admis
140726,RASOLOARIVONY Rivomalala,AMBOSITRA,EPP Nosy Be,admis
140795,RANDRIANARY Rivomalala,AMBOSITRA,EPP Toamasina,admis
140706,RAHARISON Aina,AMBOSITRA,EPP Mananjary,non admis
140712,RAZAKARIVONY Aina,AMBOSITRA,EPP Ihosy,non admis
140700,RANDRIAMANANTENA Jean,AMBOSITRA,EPP Bekily,non admis
140705,RAFIDIMANANA Koto,AMBOSITRA,EPP Ambanja,non admis
140780,RAHARINIRINA Fano,AMBOSITRA,EPP Antsiranana,admis
140737,RAKOTOMANANA Tahina,AMBOSITRA,EPP Ambositra,admis
140740,RANARIVELO Sarobidy,AMBOSITRA,EPP Toliara,admis
140707,RASOLOARIVONY Fitia,AMBOSITRA,EPP Ambatondrazaka,non admis
140718,RAKOTONANAHARY Ando,AMBOSITRA,EPP Ampanihy,admis
140761,RAFIDIMANANA Kintana,AMBOSITRA,EPP Ambovombe,admis
140732,RAZAFINDRAKOTO Randria,AMBOSITRA,EPP Ambositra,admis
140701,RANDRIAMBOLOLONA Tiana,AMBOSITRA,EPP Toamasina,non admis
140714,RABEMANANTSOA Tahina,AMBOSITRA,EPP Fianarantsoa,admis
140788,RAVELONIRINA Randria,AMBOSITRA,EPP Manakara,admis
140784,RAKOTONDRAZAKA Kanto,AMBOSITRA,EPP Bealanana,admis
140791,RAVELONIRINA Sitraka,AMBOSITRA,EPP Ambanja,admis
140743,RANDRIANARIVELO Voara,AMBOSITRA,EPP Maroantsetra,admis
140736,RANDRIAMBOLOLONA Tojo,AMBOSITRA,EPP Manakara,admis
140782,RAHANTANIRINA Solofonirina,AMBOSITRA,EPP Ihosy,admis
140796,RAJOELINA Soa,AMBOSITRA,EPP Mahajanga,admis
140762,RATOVO Koto,AMBOSITRA,EPP Andapa,admis
140786,RANDRIANAMPARANY Toky,AMBOSITRA,EPP Bekily,admis
140794,RANDRIAMANANTENA Faly,AMBOSITRA,EPP Andapa,admis
140728,RAHARINAIVO Soa,AMBOSITRA,EPP Belo,admis
140744,RAVELONIRINA Tsiry,AMBOSITRA,EPP Toliara,admis
140781,RANDRIAMANANTENA Sarobidy,AMBOSITRA,EPP Mananjary,admis
140798,RAJAONARISON Miary,AMBOSITRA,EPP Bekily,admis
140755,RANDRIANASOLO Soa,AMBOSITRA,EPP Mandritsara,admis
140789,RAKOTONANAHARY Miora,AMBOSITRA,EPP Antalaha,admis
140760,RAVELONIRINA Tsiry,AMBOSITRA,EPP Manakara,admis
140738,RATOVO Malala,AMBOSITRA,EPP Ihosy,admis
140725,RANDRIANJOHARY Tsiry,AMBOSITRA,EPP Fianarantsoa,admis
140750,RAFIDIMANANA Voara,AMBOSITRA,EPP Toliara,admis
140709,RATSIMBAZAFY Soa,AMBOSITRA,EPP Nosy Be,non admis
140704,RANDRIANASOLO Rado,AMBOSITRA,EPP Bealanana,non admis
140746,RAJAONARISON Kintana,AMBOSITRA,EPP Bekily,admis
140739,RANARIVELO Fitia,AMBOSITRA,EPP Farafangana,admis
140703,RASOLOARIVONY Mahery,AMBOSITRA,EPP Mandritsara,non admis
140735,RAZAKARIVONY Soava,AMBOSITRA,EPP Toliara,admis
140721,RAFANOMEZANTSOA Lalaina,AMBOSITRA,EPP Ambanja,admis
140749,RAKOTONDRAMBOA Faly,AMBOSITRA,EPP Fianarantsoa,admis
140797,RAJOELINA Fahasina,AMBOSITRA,EPP Maroantsetra,admis
140756,RAKOTOMANGA Solofonirina,AMBOSITRA,EPP Mahajanga,admis
140776,RAFIDIMANANA Mampionona,AMBOSITRA,EPP Toamasina,admis
140778,RAKOTOMALALA Mahery,AMBOSITRA,EPP Mananjary,admis
140708,RANDRIANARY Sarobidy,AMBOSITRA,EPP Bealanana,non admis
140754,RAKOTONIRINA Koto,AMBOSITRA,EPP Ambanja,admis
140730,RANDRIAMANANTENA Mirana,AMBOSITRA,EPP Manakara,admis
140752,RANDRIANJOHARY Herisoa,AMBOSITRA,EPP Ambanja,admis
140727,RAKOTONIRINA Fitia,AMBOSITRA,EPP Bekily,admis
140771,RANDRIANJOHARY Voahirana,AMBOSITRA,EPP Bealanana,admis
140724,RAKOTONDRAMBOA Tahiry,AMBOSITRA,EPP Fianarantsoa,admis
140769,RAKOTONDRAZAKA Jean,AMBOSITRA,EPP Ampanihy,admis
140758,RANDRIANASOLO Koto,AMBOSITRA,EPP Antananarivo,admis
140713,RAKOTONDRABE Miary,AMBOSITRA,EPP Bekily,non admis
140770,RAKOTOBE Tovo,AMBOSITRA,EPP Belo,admis
140799,RANDRIANARIVELO Sitraka,AMBOSITRA,EPP Fianarantsoa,admis
140745,RASOLOARIVONY Rado,AMBOSITRA,EPP Ambositra,admis
140747,RAKOTO Hasina,AMBOSITRA,EPP Ambanja,admis
140774,RAKOTONANAHARY Fetra,AMBOSITRA,EPP Fianarantsoa,admis
