matricule,name,cisco,studied_at,results
140831,RAKOTOMAVO Ialy,AMBOVOMBE,EPP Ambovombe,admis
140889,RANOROMALALA Rivomalala,AMBOVOMBE,EPP Ambovombe,admis
140821,RAVELONIRINA Aina,AMBOVOMBE,EPP Farafangana,admis
140896,RAHANTANIRINA Randria,AMBOVOMBE,EPP Ambatondrazaka,admis
140830,RAJAONARISON Lova,AMBOVOMBE,EPP Moramanga,admis
140863,RASOANAIVO Fano,AMBOVOMBE,EPP Bekily,admis
140832,RAKOTONANAHARY Sitraka,AMBOVOMBE,EPP Bealanana,admis
140898,RAKOTONDRAVONY Tsiry,AMBOVOMBE,EPP Mananjary,admis
140826,RAKOTOMANGA Fahasina,AMBOVOMBE,EPP Ihosy,admis
140879,RAVELOMANANA Lova,AMBOVOMBE,EPP Belo,admis
140818,RASOLOARIVONY Randria,AMBOVOMBE,EPP Maroantsetra,admis
140871,RANDRIAMBOLOLONA Mahery,AMBOVOMBE,EPP Bekily,admis
140880,RANDRIANJOHARY Kanto,AMBOVOMBE,EPP Maroantsetra,admis
140855,RABEMANANTSOA Fitiavana,AMBOVOMBE,EPP Antsiranana,admis
140853,RAHARIMANANA Lova,AMBOVOMBE,EPP Antananarivo,admis
140860,ANDRIAMATOA Sarobidy,AMBOVOMBE,EPP Farafangana,admis
140869,RAJOELINA Koto,AMBOVOMBE,EPP Nosy Be,admis
140872,RAKOTOMAVO Fara,AMBOVOMBE,EPP Fianarantsoa,admis
140852,RAFIDIMANANA Sarobidy,AMBOVOMBE,EPP Ambatondrazaka,admis
140825,RAKOTONANAHARY Tahina,AMBOVOMBE,EPP Ambovombe,admis
140815,RAFANOMEZANTSOA Lalaina,AMBOVOMBE,EPP Ambanja,admis
140837,RANDRIANJOHARY Soava,AMBOVOMBE,EPP Antananarivo,admis
140810,ANDRIAMATOA Hery,AMBOVOMBE,EPP Antsiranana,non admis
140888,RASAMIMANANA Sitraka,AMBOVOMBE,EPP Toliara,admis
140814,RAKOTONIRINA Santatra,AMBOVOMBE,EPP Morondava,admis
140842,RANDRIANARIVELO Ialy,AMBOVOMBE,EPP Ambovombe,admis
140800,RAHANTANIRINA Rina,AMBOVOMBE,EPP Antananarivo,non admis
140803,RAZAFINDRAKOTO Fitiavana,AMBOVOMBE,EPP Nosy Be,non admis
140811,RAKOTONDRAZAKA Soava,AMBOVOMBE,EPP Bekily,non admis
140868,RAKOTONDRAZAKA Fara,AMBOVOMBE,EPP Ambatondrazaka,admis
140806,RAKOTONDRAVONY Voara,AMBOVOMBE,EPP Mananjary,non admis
140881,RAJAONARISON Tovo,AMBOVOMBE,EPP Fianarantsoa,admis
140864,ANDRIAMATOA Voahirana,AMBOVOMBE,EPP Toliara,admis
140877,RAKOTOARISOA Sarobidy,AMBOVOMBE,EPP Morondava,admis
140845,RANDRIANARY Koto,AMBOVOMBE,EPP Belo,admis
140849,RASOANAIVO Ialy,AMBOVOMBE,EPP Farafangana,admis
140897,RASAMIMANANA Lalaina,AMBOVOMBE,EPP Moramanga,admis
140861,RAZAKARIVONY Sitraka,AMBOVOMBE,EPP Bealanana,admis
140890,RATSIMBAZAFY Koto,AMBOVOMBE,EPP Bealanana,admis
140836,RAKOTOMALALA Fara,AMBOVOMBE,EPP Bealanana,admis
140834,RANARIVELO Randria,AMBOVOMBE,EPP Bealanana,admis
140816,RASOANAIVO Fitia,AMBOVOMBE,EPP Toliara,admis
140848,RANARIVELO Soa,AMBOVOMBE,EPP Antsiranana,admis
140812,RABEMANANTSOA Soava,AMBOVOMBE,EPP Toliara,non admis
140856,RASAMIMANANA Koto,AMBOVOMBE,EPP Toamasina,admis
140809,RATOVO Onja,AMBOVOMBE,EPP Bekily,non admis
140885,RAKOTONDRAZAKA Fano,AMBOVOMBE,EPP Ambositra,admis
140847,RAJOELINA Fitia,AMBOVOMBE,EPP Andapa,admis
140887,RAKOTOMALALA Kintana,AMBOVOMBE,EPP Fianarantsoa,admis
140870,RAKOTOMANGA Kanto,AMBOVOMBE,EPP Manakara,admis
140857,RAKOTONIAINA Faly,AMBOVOMBE,EPP Mahajanga,admis
140828,RANDRIANASOLO Sitraka,AMBOVOMBE,EPP Maroantsetra,admis
140895,RAHARISON Tahiry,AMBOVOMBE,EPP Mandritsara,admis
140829,RAKOTONDRAZAKA Hery,AMBOVOMBE,EPP Andapa,admis
140858,RAHARISON Mahery,AMBOVOMBE,EPP Fianarantsoa,admis
140854,RANDRIANARIVELO Fara,AMBOVOMBE,EPP Ambanja,admis
140851,RAKOTONIRINA Voara,AMBOVOMBE,EPP Morondava,admis
140862,RAZAKARIVONY Fahasina,AMBOVOMBE,EPP Antananarivo,admis
140802,RAKOTOBE Kintana,AMBOVOMBE,EPP Antsiranana,non admis
140876,RAVELOMANANA Soava,AMBOVOMBE,EPP Antananarivo,admis
140838,RASAMIMANANA Hery,AMBOVOMBE,EPP Fianarantsoa,admis
140807,RANDRIANARY Koto,AMBOVOMBE,EPP Farafangana,non admis
140824,RAHANTANIRINA Fitia,AMBOVOMBE,EPP Antananarivo,admis
140805,RAKOTONDRAVAO Rivomalala,AMBOVOMBE,EPP Ampanihy,non admis
140813,RAKOTO Tahina,AMBOVOMBE,EPP Mananjary,non admis
140882,RANOROMALALA Tovo,AMBOVOMBE,EPP Bekily,admis
140893,RAKOTONANAHARY Voahangy,AMBOVOMBE,EPP Mahajanga,admis
140886,RASOAMANARIVO Mampionona,AMBOVOMBE,EPP Maroantsetra,admis
140875,RAKOTOMANANA Santatra,AMBOVOMBE,EPP Mahajanga,admis
140894,RAJAONARISON Fahasina,AMBOVOMBE,EPP Bealanana,admis
140878,RAVELOMANANA Aina,AMBOVOMBE,EPP Ampanihy,admis
140899,RASOAMANARIVO Sarobidy,AMBOVOMBE,EPP Fianarantsoa,admis
140883,RAFANOMEZANTSOA Fahasina,AMBOVOMBE,EPP Moramanga,admis
140865,RANDRIANAMPARANY Herisoa,AMBOVOMBE,EPP Antananarivo,admis
140867,RAFIDIMANANA Faly,AMBOVOMBE,EPP Andapa,admis
